,t,T,process
0,0.0,308.077,DoE1_R2
1,0.008333333333336412,308.077,DoE1_R2
2,0.016666666666669272,308.077,DoE1_R2
3,0.02500000000000213,308.077,DoE1_R2
4,0.03333333333333499,308.077,DoE1_R2
5,0.041666666666671404,308.077,DoE1_R2
6,0.05000000000000071,308.077,DoE1_R2
7,0.05833333333333712,308.195,DoE1_R2
8,0.06666666666666998,308.09,DoE1_R2
9,0.07500000000000284,308.09,DoE1_R2
10,0.0833333333333357,308.174,DoE1_R2
11,0.09166666666666856,308.123,DoE1_R2
12,0.10000000000000142,308.123,DoE1_R2
13,0.10833333333333428,308.123,DoE1_R2
14,0.11666666666666714,308.123,DoE1_R2
15,0.12500000000000355,308.15999999999997,DoE1_R2
16,0.13333333333333286,308.15999999999997,DoE1_R2
17,0.14166666666666927,308.15999999999997,DoE1_R2
18,0.15000000000000213,308.193,DoE1_R2
19,0.158333333333335,308.029,DoE1_R2
20,0.16666666666666785,307.801,DoE1_R2
21,0.17500000000000426,307.558,DoE1_R2
22,0.18333333333333357,307.38,DoE1_R2
23,0.19166666666666998,307.168,DoE1_R2
24,0.20000000000000284,306.95799999999997,DoE1_R2
25,0.2083333333333357,306.702,DoE1_R2
26,0.21666666666666856,306.479,DoE1_R2
27,0.22472222222222626,306.14599999999996,DoE1_R2
28,0.23333333333333428,305.80899999999997,DoE1_R2
29,0.24166666666666714,305.58399999999995,DoE1_R2
30,0.25,305.364,DoE1_R2
31,0.2583333333333364,305.085,DoE1_R2
32,0.26666666666666927,304.852,DoE1_R2
33,0.27500000000000213,304.59499999999997,DoE1_R2
34,0.28333333333333854,304.28799999999995,DoE1_R2
35,0.29166666666666785,304.078,DoE1_R2
36,0.30000000000000426,303.852,DoE1_R2
37,0.3080555555555584,303.722,DoE1_R2
38,0.31666666666667,303.652,DoE1_R2
39,0.32500000000000284,303.652,DoE1_R2
40,0.3333333333333357,303.70099999999996,DoE1_R2
41,0.34166666666666856,303.818,DoE1_R2
42,0.3500000000000014,303.933,DoE1_R2
43,0.3583333333333343,304.073,DoE1_R2
44,0.3666666666666707,304.243,DoE1_R2
45,0.375,304.26399999999995,DoE1_R2
46,0.3833333333333364,304.26399999999995,DoE1_R2
47,0.39166666666666927,304.26399999999995,DoE1_R2
48,0.40000000000000213,304.114,DoE1_R2
