,t,X,P,G,T,t_process,V,f_cum,f_base_cum,process
0,0.0,21.166666666666703,0.0,0.0,308.077,23.58833333333333,1.3256089999999998,0.219306,0.052164,DoE1_R2
1,2.1283333333333374,26.966666666666654,2.36,0.0,304.197,25.71666666666667,1.389735,0.267978,0.06675700000000001,DoE1_R2
2,4.145833333333336,32.06666666666669,4.62,0.0,304.147,27.734166666666667,1.40729,0.324686,0.081604,DoE1_R2
3,6.179166666666667,36.39999999999999,7.19,0.0,304.23499999999996,29.7675,1.438165,0.394281,0.096839,DoE1_R2
4,8.212500000000006,40.6333333333333,8.16,0.0,304.268,31.800833333333337,1.485812,0.47908300000000004,0.113651,DoE1_R2
5,10.245833333333335,44.76666666666662,8.95,0.0,304.248,33.83416666666667,1.553228,0.582469,0.132759,DoE1_R2
6,12.1625,52.26666666666668,9.41,0.0,304.226,35.75083333333333,1.640632,0.700885,0.15574700000000002,DoE1_R2
7,0.0,25.1,0.0,0.0,308.066,23.356388888888887,1.300748,0.187485,0.061534,DoE1_R4
8,2.2886111111111163,29.9,2.3,0.0,304.20599999999996,25.645000000000003,1.374114,0.243602,0.077512,DoE1_R4
9,4.265000000000004,35.2,4.13,0.0,304.205,27.62138888888889,1.401461,0.303535,0.093852,DoE1_R4
10,6.315000000000005,38.6,5.31,0.0,304.238,29.67138888888889,1.437927,0.37891800000000003,0.111009,DoE1_R4
11,8.406666666666666,42.4,8.2,0.0,304.188,31.763055555555557,1.44034,0.47304199999999996,0.129212,DoE1_R4
12,10.381666666666668,46.1,8.07,0.0,304.162,33.738055555555555,1.508931,0.57769,0.148151,DoE1_R4
13,12.265,49.4,9.0,0.0,304.214,35.62138888888889,1.591743,0.697909,0.16775800000000002,DoE1_R4
14,0.0,43.73333333333333,0.0,0.0,304.71799999999996,24.708055555555624,1.100967,0.106254,0.092221,DoE2_R2
15,2.133333333333667,47.76666666666674,1.73,0.0,304.27599999999995,26.84138888888929,1.179076,0.17105099999999998,0.104622,DoE2_R2
16,4.066666666667302,53.99999999999997,4.2,0.0,304.31899999999996,28.774722222222927,1.208555,0.24188900000000002,0.117263,DoE2_R2
17,6.066666666667604,58.76666666666656,5.99,0.0,304.429,30.77472222222323,1.256454,0.329779,0.131197,DoE2_R2
18,8.100000000001252,63.4333333333333,7.83,0.0,304.31199999999995,32.80805555555688,1.3261189999999998,0.43791199999999997,0.146804,DoE2_R2
19,10.083333333334885,67.90000000000008,9.45,0.0,304.671,34.79138888889051,1.417224,0.565633,0.164107,DoE2_R2
20,12.033333333335172,70.16666666666656,9.87,0.0,309.53,36.7413888888908,1.53248,0.717372,0.181705,DoE2_R2
21,0.0,30.36666666666658,0.0,0.0,304.18699999999995,24.4916666666667,0.935842,0.05847,0.063226,DoE2_R4
22,2.116666666666955,36.13333333333336,1.53,0.0,304.236,26.6083333333337,0.995786,0.108484,0.07231900000000001,DoE2_R4
23,4.058333333333955,40.36666666666674,3.13,0.0,304.20799999999997,28.5500000000007,1.006582,0.164409,0.08113200000000001,DoE2_R4
24,6.066666666667555,45.299999999999976,5.19,0.0,304.214,30.5583333333343,1.032307,0.23390799999999998,0.091445,DoE2_R4
25,8.091666666667955,49.4666666666667,6.67,0.0,304.275,32.5833333333347,1.073738,0.318548,0.102188,DoE2_R4
26,10.066666666668254,54.56666666666658,7.59,0.0,304.21599999999995,34.558333333335,1.1317300000000001,0.417837,0.114939,DoE2_R4
27,12.016666666668556,58.46666666666667,7.67,0.0,303.96,36.5083333333353,1.2082080000000002,0.5361030000000001,0.127079,DoE2_R4
28,0.0,22.800000000000004,0.0,0.0,304.032,23.452777777777776,1.272927,0.16525600000000001,0.050183,DoE3_R1
29,1.7750000000000057,24.29999999999999,0.59,0.0,304.046,25.22777777777778,1.275586,0.16736600000000001,0.05022,DoE3_R1
30,3.758333333333333,23.699999999999942,0.8,0.0,304.18399999999997,27.21111111111111,1.2239149999999999,0.16969499999999998,0.05022,DoE3_R1
31,5.766666666666673,23.466666666666672,0.87,0.0,304.13399999999996,29.21944444444445,1.1721590000000002,0.17193899999999998,0.05022,DoE3_R1
32,7.766666666666669,23.63333333333332,0.32,0.0,304.00699999999995,31.219444444444445,1.120333,0.174057,0.05022,DoE3_R1
33,9.800000000000004,23.766666666666715,0.4,0.0,303.988,33.25277777777778,1.068432,0.176151,0.05022,DoE3_R1
34,11.683333333333335,25.733333333333317,0.46,0.0,304.104,35.13611111111111,1.016353,0.178072,0.05022,DoE3_R1
35,0.0,26.300000000000065,0.0,0.0,308.167,23.482222222222223,1.301251,0.193809,0.054592,DoE1_R3
36,2.2694444444444457,27.900000000000038,1.69,0.0,300.123,25.75166666666667,1.326413,0.213115,0.059188000000000004,DoE1_R3
37,4.287222222222223,29.36666666666669,2.47,0.0,300.18699999999995,27.76944444444445,1.294612,0.231102,0.06351,DoE1_R3
38,6.320555555555558,29.899999999999963,3.23,0.0,300.186,29.80277777777778,1.260513,0.249702,0.06765600000000001,DoE1_R3
39,8.32888888888889,31.233333333333373,3.97,0.0,300.135,31.811111111111117,1.2264169999999999,0.268878,0.071539,DoE1_R3
40,10.345555555555553,37.899999999999935,2.77,0.0,300.186,33.827777777777776,1.1947860000000001,0.288634,0.07510599999999999,DoE1_R3
41,12.253888888888891,35.95000000000004,5.37,0.0,300.13599999999997,35.736111111111114,1.1623979999999998,0.30784500000000004,0.078446,DoE1_R3
42,0.0,32.53333333333338,0.0,0.0,308.03099999999995,24.49666666666674,1.0988449999999992,0.081777,0.07260300000000001,DoE2_R3
